Type,Name,Location,Latitude,Longitude,Country,Region,Sub-Region,Forecast 1,Forecast 2,Forecast 3,Forecast 4,Description
Surf Spot,Seaside Park,"39.918085, -74.075096",39.918085,-74.075096,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/seaside-park/5842041f4e65fad6a7708a12","Windy, https://www.windy.com/-Waves-waves?waves,39.918085,-74.075096,10",,,
Surf Spot,Island Beach State Park,"39.828828, -74.088647",39.828828,-74.088647,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/island-beach-state-park/5842041f4e65fad6a7708a11","Windy, https://www.windy.com/-Waves-waves?waves,39.828828,-74.088647,10",,,
Surf Spot,Barnegat Light,"39.755810, -74.101919",39.755810,-74.101919,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/barnegat-light/640a445fb6d7693e975266df","Windy, https://www.windy.com/-Waves-waves?waves,39.755810,-74.101919,10",,,
Surf Spot,Hudson Ave.,"39.697486, -74.137405",39.697486,-74.137405,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/hudson-ave-/5842041f4e65fad6a7708a10","Windy, https://www.windy.com/-Waves-waves?waves,39.697486,-74.137405,10",,,
Surf Spot,Surf City,"39.655206, -74.166988",39.655206,-74.166988,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/surf-city/5b18410acaa322001aacd67a","Windy, https://www.windy.com/-Waves-waves?waves,39.655206,-74.166988,10",,,
Surf Spot,Ship Bottom,"39.642687, -74.178442",39.642687,-74.178442,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/ship-bottom/5842041f4e65fad6a770885b","Windy, https://www.windy.com/-Waves-waves?waves,39.642687,-74.178442,10",,,
Surf Spot,Long Beach Township,"39.585765, -74.218779",39.585765,-74.218779,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/long-beach-township/5b215f6d59c0e0001b0618a9?camId=5b214ca5ca4ef9000f04d8d5","Windy, https://www.windy.com/-Waves-waves?waves,39.585765,-74.218779,10",,,
Surf Spot,Beach Haven,"39.581085, -74.222181",39.581085,-74.222181,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/beach-haven/6642133e0ea431fbcfe96cdc","Windy, https://www.windy.com/-Waves-waves?waves,39.581085,-74.222181,10",,,
Surf Spot,Holyoke,"39.572830, -74.227901",39.572830,-74.227901,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/holyoke/5842041f4e65fad6a7708a0f","Windy, https://www.windy.com/-Waves-waves?waves,39.572830,-74.227901,10",,,
Surf Spot,The Wooden Jetty,"39.530450, -74.263596",39.530450,-74.263596,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/the-wooden-jetty/5842041f4e65fad6a7708a0e","Windy, https://www.windy.com/-Waves-waves?waves,39.530450,-74.263596,10",,,
Surf Spot,14th Street North,"39.410897, -74.357536",39.410897,-74.357536,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/14th-street-north/5842041f4e65fad6a7708a0d","Windy, https://www.windy.com/-Waves-waves?waves,39.410897,-74.357536,10",,,
Surf Spot,Seaside Road,"39.376155, -74.400859",39.376155,-74.400859,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/seaside-road/58bdecc682d034001252e3d3","Windy, https://www.windy.com/-Waves-waves?waves,39.376155,-74.400859,10",,,
Surf Spot,Brigatine Jetty,"39.372575, -74.404063",39.372575,-74.404063,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/brigantine-jetty/5842041f4e65fad6a7708a0b","Windy, https://www.windy.com/-Waves-waves?waves,39.372575,-74.404063,10",,,
Surf Spot,Crystals,"39.363906, -74.409938",39.363906,-74.409938,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/crystals/5842041f4e65fad6a7708a06","Windy, https://www.windy.com/-Waves-waves?waves,39.363906,-74.409938,10",,,
Surf Spot,States Avenue,"39.360190, -74.415277",39.360190,-74.415277,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/states-avenue/5842041f4e65fad6a7708a0a","Windy, https://www.windy.com/-Waves-waves?waves,39.360190,-74.415277,10",,,
Surf Spot,South Carolina Avenue,"39.356934, -74.421680",39.356934,-74.421680,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/south-carolina-avenue/5842041f4e65fad6a7708a0c","Windy, https://www.windy.com/-Waves-waves?waves,39.356934,-74.421680,10",,,
Surf Spot,St. James,"39.355178, -74.427483",39.355178,-74.427483,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/st-james/6418e42c93265bdb781900d7","Windy, https://www.windy.com/-Waves-waves?waves,39.355178,-74.427483,10",,,
Surf Spot,Chicken Bone Beach,"39.353112, -74.436217",39.353112,-74.436217,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/chicken-bone-beach/666c747b362196018cbc7e12","Windy, https://www.windy.com/-Waves-waves?waves,39.353112,-74.436217,10",,,
Surf Spot,Ventnor Pier,"39.336992, -74.475067",39.336992,-74.475067,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/ventnor-pier/5842041f4e65fad6a7708a09?camId=6246073ab2102232092fb335","Windy, https://www.windy.com/-Waves-waves?waves,39.336992,-74.475067,10",,,
Surf Spot,Margate Pier Northside,"39.327965, -74.494588",39.327965,-74.494588,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/margate-pier-northside/5842041f4e65fad6a7708a08","Windy, https://www.windy.com/-Waves-waves?waves,39.327965,-74.494588,10",,,
Surf Spot,Sumner Avenue,"39.322252, -74.505975",39.322252,-74.505975,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/sumner-avenue/5842041f4e65fad6a7708b5d","Windy, https://www.windy.com/-Waves-waves?waves,39.322252,-74.505975,10",,,
Surf Spot,32nd Street,"39.313238, -74.521980",39.313238,-74.521980,US,New Jersey,Atlantic County,"Surfline, https://www.surfline.com/surf-report/32nd-street/5842041f4e65fad6a7708a07","Windy, https://www.windy.com/-Waves-waves?waves,39.313238,-74.521980,10",,,
Surf Spot,Morning Side,"39.283326, -74.556586",39.283326,-74.556586,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/morning-side/667da9ff4c55b85a9a5ab1e7","Windy, https://www.windy.com/-Waves-waves?waves,39.283326,-74.556586,10",,,
Surf Spot,North End OC,"39.281112, -74.558193",39.281112,-74.558193,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/north-end-oc/5842041f4e65fad6a7708858?camId=58349e26e411dc743a5d52c1","Windy, https://www.windy.com/-Waves-waves?waves,39.281112,-74.558193,10",,,
Surf Spot,7th Street,"39.275898, -74.566553",39.275898,-74.566553,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/7th-street/5842041f4e65fad6a7708b5b","Windy, https://www.windy.com/-Waves-waves?waves,39.275898,-74.566553,10",,,
Surf Spot,Central OC,"39.274442, -74.570551",39.274442,-74.570551,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/central-oc/5aff31a7f7fc66001bd15a34","Windy, https://www.windy.com/-Waves-waves?waves,39.274442,-74.570551,10",,,
Surf Spot,10th St.,"39.273260, -74.572892",39.273260,-74.572892,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/10th-st-/5b02fe338bd590001bf55485","Windy, https://www.windy.com/-Waves-waves?waves,39.273260,-74.572892,10",,,
Surf Spot,11th St.,"39.272364, -74.575183",39.272364,-74.575183,US,New Jersey,Cape May County,"Surfline, https://www.surfline.com/surf-report/11th-st-/5b02ff07b383ab001aa8cff3","Windy, https://www.windy.com/-Waves-waves?waves,39.272364,-74.575183,10",,,
